Name,Barcode,USN,Phone,Branch,Year,Section
Stdfir1,13001,1BY23IS002,3856441293,ISE,1stYear,A
Stdfir2,13002,1BY23IS003,2815837999,ISE,1stYear,A
Stdfir3,13003,1BY23IS004,4633196919,ISE,1stYear,A
Stdfir4,13004,1BY23IS005,8133633072,ISE,1stYear,A
Stdfir5,13005,1BY23IS006,5694383866,ISE,1stYear,A
Stdfir6,13006,1BY23IS007,1127104851,ISE,1stYear,A
Stdfir7,13007,1BY23IS008,7748258206,ISE,1stYear,A
Stdfir8,13008,1BY23IS009,4587911123,ISE,1stYear,A
Stdfir9,13009,1BY23IS010,4121367711,ISE,1stYear,A
Stdfir10,13010,1BY23IS011,1080274767,ISE,1stYear,A
Stdfir11,13011,1BY23IS012,3092857424,ISE,1stYear,A
Stdfir12,13012,1BY23IS013,4754828781,ISE,1stYear,A
Stdfir13,13013,1BY23IS014,9545440334,ISE,1stYear,A
Stdfir14,13014,1BY23IS015,5983590142,ISE,1stYear,A
Stdfir15,13015,1BY23IS016,7791615322,ISE,1stYear,A
Stdfir16,13016,1BY23IS017,4380128784,ISE,1stYear,A
Stdfir17,13017,1BY23IS018,4406017703,ISE,1stYear,A
Stdfir18,13018,1BY23IS019,1383712322,ISE,1stYear,A
Stdfir19,13019,1BY23IS020,4195581122,ISE,1stYear,A
Stdfir20,13020,1BY23IS021,4110645984,ISE,1stYear,A
Stdfir21,13021,1BY23IS022,3997464096,ISE,1stYear,A
Stdfir22,13022,1BY23IS023,6103568876,ISE,1stYear,A
Stdfir23,13023,1BY23IS024,0497742644,ISE,1stYear,A
Stdfir24,13024,1BY23IS025,8531067725,ISE,1stYear,A
Stdfir25,13025,1BY23IS026,0303178517,ISE,1stYear,A
Stdfir26,13026,1BY23IS027,7061359643,ISE,1stYear,A
Stdfir27,13027,1BY23IS028,7750193936,ISE,1stYear,A
Stdfir28,13028,1BY23IS029,6980122529,ISE,1stYear,A
Stdfir29,13029,1BY23IS030,5602237058,ISE,1stYear,A
Stdfir30,13030,1BY23IS031,8246350698,ISE,1stYear,A
Stdfir31,13031,1BY23IS032,5957114699,ISE,1stYear,A
Stdfir32,13032,1BY23IS033,6048291587,ISE,1stYear,A
Stdfir33,13033,1BY23IS034,3696856525,ISE,1stYear,A
Stdfir34,13034,1BY23IS035,0499033679,ISE,1stYear,A
Stdfir35,13035,1BY23IS036,7360415334,ISE,1stYear,A
Stdfir36,13036,1BY23IS037,5136168063,ISE,1stYear,A
Stdfir37,13037,1BY23IS038,5594527313,ISE,1stYear,A
Stdfir38,13038,1BY23IS039,7008346865,ISE,1stYear,A
Stdfir39,13039,1BY23IS040,4046944322,ISE,1stYear,A
Stdfir40,13040,1BY23IS041,1605320798,ISE,1stYear,A
Stdfir41,13041,1BY23IS042,7612025700,ISE,1stYear,A
Stdfir42,13042,1BY23IS043,8722463183,ISE,1stYear,A
Stdfir43,13043,1BY23IS044,4723561695,ISE,1stYear,A
Stdfir44,13044,1BY23IS045,2271085035,ISE,1stYear,A
Stdfir45,13045,1BY23IS046,2585435014,ISE,1stYear,A
Stdfir46,13046,1BY23IS047,5626439346,ISE,1stYear,A
Stdfir47,13047,1BY23IS048,7660724828,ISE,1stYear,A
Stdfir48,13048,1BY23IS049,0437961341,ISE,1stYear,A
Stdfir49,13049,1BY23IS050,8020297776,ISE,1stYear,A
Stdfir50,13050,1BY23IS051,8249885312,ISE,1stYear,A
Stdfir51,13051,1BY23IS052,9715853649,ISE,1stYear,A
Stdfir52,13052,1BY23IS053,6728305385,ISE,1stYear,A
Stdfir53,13053,1BY23IS054,3250068340,ISE,1stYear,A
Stdfir54,13054,1BY23IS055,3322001351,ISE,1stYear,A
Stdfir55,13055,1BY23IS056,3072141531,ISE,1stYear,A
Stdfir56,13056,1BY23IS057,0156816435,ISE,1stYear,A
Stdfir57,13057,1BY23IS058,5165606965,ISE,1stYear,A
Stdfir58,13058,1BY23IS059,5034414521,ISE,1stYear,A
Stdfir59,13059,1BY23IS060,0891160399,ISE,1stYear,A
Stdfir60,13060,1BY23IS061,0448669247,ISE,1stYear,A
Stdfir61,13061,1BY23IS062,8473355151,ISE,1stYear,B
Stdfir62,13062,1BY23IS063,2285934893,ISE,1stYear,B
Stdfir63,13063,1BY23IS064,1199783426,ISE,1stYear,B
Stdfir64,13064,1BY23IS065,4740842274,ISE,1stYear,B
Stdfir65,13065,1BY23IS066,0823844779,ISE,1stYear,B
Stdfir66,13066,1BY23IS067,2620059008,ISE,1stYear,B
Stdfir67,13067,1BY23IS068,4055503478,ISE,1stYear,B
Stdfir68,13068,1BY23IS069,6032994130,ISE,1stYear,B
Stdfir69,13069,1BY23IS070,1413592295,ISE,1stYear,B
Stdfir70,13070,1BY23IS071,0886726754,ISE,1stYear,B
Stdfir71,13071,1BY23IS072,0819001027,ISE,1stYear,B
Stdfir72,13072,1BY23IS073,3806072209,ISE,1stYear,B
Stdfir73,13073,1BY23IS074,8261444549,ISE,1stYear,B
Stdfir74,13074,1BY23IS075,1983468739,ISE,1stYear,B
Stdfir75,13075,1BY23IS076,2306164842,ISE,1stYear,B
Stdfir76,13076,1BY23IS077,2725627557,ISE,1stYear,B
Stdfir77,13077,1BY23IS078,8364395588,ISE,1stYear,B
Stdfir78,13078,1BY23IS079,2929942108,ISE,1stYear,B
Stdfir79,13079,1BY23IS080,1100826118,ISE,1stYear,B
Stdfir80,13080,1BY23IS081,4452762309,ISE,1stYear,B
Stdfir81,13081,1BY23IS082,7921825622,ISE,1stYear,B
Stdfir82,13082,1BY23IS083,0877810379,ISE,1stYear,B
Stdfir83,13083,1BY23IS084,3254395001,ISE,1stYear,B
Stdfir84,13084,1BY23IS085,0710073190,ISE,1stYear,B
Stdfir85,13085,1BY23IS086,2635594066,ISE,1stYear,B
Stdfir86,13086,1BY23IS087,7949231715,ISE,1stYear,B
Stdfir87,13087,1BY23IS088,4283432217,ISE,1stYear,B
Stdfir88,13088,1BY23IS089,4894859396,ISE,1stYear,B
Stdfir89,13089,1BY23IS090,0565426956,ISE,1stYear,B
Stdfir90,13090,1BY23IS091,4199853291,ISE,1stYear,B
Stdfir91,13091,1BY23IS092,6451706169,ISE,1stYear,B
Stdfir92,13092,1BY23IS093,6471912563,ISE,1stYear,B
Stdfir93,13093,1BY23IS094,6930534196,ISE,1stYear,B
Stdfir94,13094,1BY23IS095,3793356592,ISE,1stYear,B
Stdfir95,13095,1BY23IS096,1397196568,ISE,1stYear,B
Stdfir96,13096,1BY23IS097,7577569284,ISE,1stYear,B
Stdfir97,13097,1BY23IS098,3197571144,ISE,1stYear,B
Stdfir98,13098,1BY23IS099,7140172365,ISE,1stYear,B
Stdfir99,13099,1BY23IS100,8360741893,ISE,1stYear,B
Stdfir100,13100,1BY23IS101,8056288352,ISE,1stYear,B
Stdfir101,13101,1BY23IS102,3487999971,ISE,1stYear,B
Stdfir102,13102,1BY23IS103,9840639380,ISE,1stYear,B
Stdfir103,13103,1BY23IS104,5984860642,ISE,1stYear,B
Stdfir104,13104,1BY23IS105,6197402345,ISE,1stYear,B
Stdfir105,13105,1BY23IS106,1021688968,ISE,1stYear,B
Stdfir106,13106,1BY23IS107,2460755051,ISE,1stYear,B
Stdfir107,13107,1BY23IS108,9917167712,ISE,1stYear,B
Stdfir108,13108,1BY23IS109,0814857417,ISE,1stYear,B
Stdfir109,13109,1BY23IS110,8884864221,ISE,1stYear,B
Stdfir110,13110,1BY23IS111,5220928901,ISE,1stYear,B
Stdfir111,13111,1BY23IS112,9338462959,ISE,1stYear,B
Stdfir112,13112,1BY23IS113,6264416601,ISE,1stYear,B
Stdfir113,13113,1BY23IS114,1846350281,ISE,1stYear,B
Stdfir114,13114,1BY23IS115,3424124090,ISE,1stYear,B
Stdfir115,13115,1BY23IS116,8474234160,ISE,1stYear,B
Stdfir116,13116,1BY23IS117,4321742321,ISE,1stYear,B
Stdfir117,13117,1BY23IS118,3887671648,ISE,1stYear,B
Stdfir118,13118,1BY23IS119,0158511928,ISE,1stYear,B
Stdfir119,13119,1BY23IS120,3039495994,ISE,1stYear,B
Stdfir120,13120,1BY23IS121,0329018226,ISE,1stYear,B
Stdfir121,13121,1BY23IS122,7363662143,ISE,1stYear,C
Stdfir122,13122,1BY23IS123,0562242337,ISE,1stYear,C
Stdfir123,13123,1BY23IS124,0781633373,ISE,1stYear,C
Stdfir124,13124,1BY23IS125,5149855748,ISE,1stYear,C
Stdfir125,13125,1BY23IS126,0980235409,ISE,1stYear,C
Stdfir126,13126,1BY23IS127,4686832403,ISE,1stYear,C
Stdfir127,13127,1BY23IS128,9500007059,ISE,1stYear,C
Stdfir128,13128,1BY23IS129,2492675063,ISE,1stYear,C
